categoria,pregunta,respuesta
Deportes,¿En qué país se inventó el fútbol moderno?,Inglaterra
Deportes,¿Cuántos jugadores tiene un equipo de baloncesto en cancha?,5
Deportes,¿Quién es el máximo goleador histórico de la selección Colombia?,Radamel Falcao
Deportes,¿Cada cuántos años se celebra la Copa Mundial de la FIFA?,4
Deportes,¿En qué deporte destaca Roger Federer?,Tenis
Deportes,¿En qué año ganó Colombia su primera medalla de oro olímpica?,2000
Cine,¿Quién dirigió la película Titanic?,James Cameron
Cine,¿Qué actor interpretó a Jack Sparrow en Piratas del Caribe?,Johnny Depp
Cine,¿Cuál es la película más taquillera de todos los tiempos hasta 2023?,Avatar
Cine,¿Quién dirigió la trilogía original de Star Wars?,George Lucas
Cine,¿En qué año se estrenó la primera película de Harry Potter?,2001
Cine,¿Qué estudio de animación creó Toy Story?,Pixar
Series,¿En qué serie aparece el personaje Walter White?,Breaking Bad
Series,¿Cuál es la serie de fantasía basada en libros de George R. R. Martin?,Game of Thrones
Series,¿Qué serie española trata sobre un atraco a la Fábrica Nacional de Moneda?,La Casa de Papel
Series,¿En qué serie animada vive la familia Simpson?,Los Simpson
Series,¿Qué serie surcoreana popularizó los juegos infantiles mortales?,El juego del calamar
Series,¿En qué serie trabaja Michael Scott como gerente?,The Office
Biología,¿Cuál es el órgano más grande del cuerpo humano?,La piel
Biología,¿Cuántos cromosomas tiene una célula humana normal?,46
Biología,¿Qué gas absorben las plantas para hacer la fotosíntesis?,Dióxido de carbono
Biología,¿Cuál es la unidad básica de la vida?,La célula
Biología,¿Qué parte del cerebro controla el equilibrio?,El cerebelo
Biología,¿Cómo se llama el proceso por el que las células se dividen en dos idénticas?,Mitosis
Historia,¿En qué año llegó Cristóbal Colón a América?,1492
Historia,¿Quién fue el primer presidente de Estados Unidos?,George Washington
Historia,¿En qué año cayó el Muro de Berlín?,1989
Historia,¿Qué imperio construyó Machu Picchu?,El Imperio Inca
Historia,¿Cuándo comenzó la Primera Guerra Mundial?,1914
Historia,¿Qué civilización inventó la escritura cuneiforme?,Los sumerios
Geografía,¿Cuál es el río más largo del mundo?,El Nilo
Geografía,¿Cuál es el océano más grande del mundo?,El Pacífico
Geografía,¿En qué continente se encuentra Egipto?,África
Geografía,¿Cuál es la capital de Australia?,Camberra
Geografía,¿Cuál es el desierto más grande del mundo?,La Antártida
Geografía,¿Cuál es el país más poblado del mundo en 2024?,India
Cultura Colombiana,¿Cuál es la capital de Colombia?,Bogotá
Cultura Colombiana,¿Quién escribió Cien Años de Soledad?,Gabriel García Márquez
Cultura Colombiana,¿Cuál es el baile típico del Caribe colombiano?,La cumbia
Cultura Colombiana,¿En qué departamento queda Cartagena?,Bolívar
Cultura Colombiana,¿Cómo se llama la moneda oficial de Colombia?,Peso colombiano
Cultura Colombiana,¿Qué cantante colombiano popularizó La Bicicleta junto a Shakira?,Carlos Vives
Cultura Colombiana,¿Cuál es el plato típico de la región andina con frijoles y carne molida?,Bandeja paisa
Videojuegos,¿Qué empresa creó la consola PlayStation?,Sony
Videojuegos,¿Quién es el plomero protagonista de Nintendo?,Mario
Videojuegos,¿En qué juego coleccionas criaturas llamadas Pokémon?,Pokémon
Videojuegos,¿Qué juego de battle royale lanzó Epic Games en 2017?,Fortnite
Videojuegos,¿Cuál es el nombre del protagonista de The Legend of Zelda?,Link
Videojuegos,¿Qué compañía desarrolla la saga Call of Duty originalmente?,Infinity Ward
Cómics,¿Cuál es la identidad secreta de Spider-Man?,Peter Parker
Cómics,¿Qué editorial publica a Batman y Superman?,DC Comics
Cómics,¿Quién es el archienemigo de Batman?,El Joker
Cómics,¿Qué grupo de superhéroes incluye a Iron Man y Capitán América?,Los Vengadores
Cómics,¿De qué planeta es Superman?,Krypton
Cómics,¿Cuál es el verdadero nombre de Wolverine?,Logan
